case,class
39,3
58,3
82,3
94,4
35,4
75,3
52,1
22,1
41,2
15,4
0,4
67,4
42,1
32,4
25,1
28,3
31,3
20,1
80,3
87,2
13,2
36,3
89,3
47,1
26,1
99,1
61,4
1,4
40,1
56,4
44,1
83,1
63,2
6,2
59,2
70,3
17,3
21,2
16,3
5,4
92,3
88,4
51,2
19,1
77,4
84,2
8,2
49,1
97,2
33,3
46,2
24,1
9,4
79,3
27,4
60,2
73,2
85,2
10,2
23,3
29,3
55,1
98,1
38,2
64,3
66,4
95,4
68,2
50,4
69,4
76,3
45,2
34,2
3,2
7,3
74,3
53,4
2,1
81,1
43,1
14,1
48,1
71,4
78,3
37,2
93,1
62,1
11,4
12,3
72,1
96,3
4,3
90,4
54,4
30,2
65,4
57,1
18,4
91,1
86,2
